"id",Market,Product Name,Price,Original Price,Discount,Image URL,Local Image Path
"90","Tamstore Khatai","Pure Sense Maye Sabun Exotic 300 ml","2.58","3.94","35%","https://imageproxy.wolt.com/assets/68a6ff5e10ec70798b770557","images/pure_sense_maye_sabun_exotic_300_ml_89.jpg"
"91","Tamstore Khatai","Mercan Təzə Toyuq Paketlənmiş kq","5.99","6.95","14%","No image",""
"92","Tamstore Khatai","Milka Südlü Şok Bubble Kapuçino Qəhvəli 97 qr","2.49","6.49","62%","https://imageproxy.wolt.com/assets/68a84c1b10ec70798b77380a","images/milka_s_dl___ok_bubble_kapu_ino_q_hv_li_97_qr_91.jpg"
"93","Tamstore Khatai","Xlebsi Molodsi Italyan Çörəyi 65 qr","1.44","1.74","17%","https://imageproxy.wolt.com/assets/68a7110810ec70798b770bbf","images/xlebsi_molodsi_italyan___r_yi_65_qr_92.jpg"
"94","Tamstore Khatai","Papia Mətbəx Dəsmalı 3 qat Sade 2 əd.","2.98","4.28","30%","https://imageproxy.wolt.com/assets/68ac5b296815835c18a5e448","images/papia_m_tb_x_d_smal__3_qat_sade_2__d__93.jpg"
"95","Tamstore Khatai","Sab Gəncə Dovğası 200qr","0.74","0.88","16%","https://imageproxy.wolt.com/assets/68a81fe3324d140dfd41a7f5","images/sab_g_nc__dov_as__200qr_94.jpg"
"96","Tamstore Khatai","B.I Mclassic Elektron Su Pompası 500 amper","4.98","7.98","38%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/f78914a6-8b41-11f0-b57a-9ade47344b16_6979468946554.jpg","images/b_i_mclassic_elektron_su_pompas__500_amper_95.jpg"
"97","Tamstore Khatai","Oven Simit Çörək 280qr","1.00","1.20","17%","No image",""
"98","Tamstore Khatai","Garnier Uz Maskasi 28 Gr Lavanda","3.18","4.28","26%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/f8f4d48e-8a28-11f0-bafe-1eaf0f294e57_3600542066464.jpg","images/garnier_uz_maskasi_28_gr_lavanda_97.jpg"
"99","Tamstore Khatai","İçim Pendir Labne 400qr","6.44","7.68","16%","https://imageproxy.wolt.com/assets/68a5c90910ec70798b76c11d","images/__im_pendir_labne_400qr_98.jpg"
"100","Tamstore Khatai","Coca-Cola Zero 1lt Pet","1.20","1.40","14%","https://imageproxy.wolt.com/assets/68a47e9df52a4fe9d4d1ce73","images/coca_cola_zero_1lt_pet_99.jpg"
"101","Tamstore Khatai","Long Chips Acı Bibərli 75qr","1.98","2.68","26%","https://imageproxy.wolt.com/assets/68a81ffe10ec70798b772b5d","images/long_chips_ac__bib_rli_75qr_100.jpg"
"102","Tamstore Khatai","Kamar Salam Toyuq Hinduşka 500qr","7.99","10.95","27%","https://imageproxy.wolt.com/assets/68a81fca324d140dfd41a773","images/kamar_salam_toyuq_hindu_ka_500qr_101.jpg"
"103","Tamstore Khatai","Gillette Blue3 Comfort 6+2","7.98","14.38","45%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/514e43e6-ab34-11f0-8dce-86c0541eec59_7702018489978.jpg","images/gillette_blue3_comfort_6_2_102.jpg"
"104","Tamstore Khatai","Sleepy Easy Clean Kirəç Çözücü Təmizlik Salfeti","3.98","9.34","57%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/b5917bd2-89c6-11f0-995f-fe8ff5403080_132496.jpg","images/sleepy_easy_clean_kir_____z_c__t_mizlik_salfeti_103.jpg"
"105","Tamstore Khatai","Persil Yuyucu Toz 5 kq Avto Gülün Büyüsü (TR)","15.98","27.98","43%","https://imageproxy.wolt.com/assets/68a84c1d10ec70798b773812","images/persil_yuyucu_toz_5_kq_avto_g_l_n_b_y_s___tr__104.jpg"
"106","Tamstore Khatai","Bonduelle Şirin Qarğıdalı 425gr Tnk","2.98","3.54","16%","https://imageproxy.wolt.com/assets/68a47e7af52a4fe9d4d1cdec","images/bonduelle__irin_qar__dal__425gr_tnk_105.jpg"
"107","Tamstore Khatai","Oven Bulka Qozlu","0.64","0.75","15%","No image",""
"108","Tamstore Khatai","Johnson Sabun 90qr Giləmeyvə","1.44","2.38","39%","https://imageproxy.wolt.com/assets/68a5c3c272cf20388ef40e7a","images/johnson_sabun_90qr_gil_meyv__107.jpg"
"109","Tamstore Khatai","Westgold Kərə Yağı KQ","20.59","23.90","14%","https://imageproxy.wolt.com/assets/68b0d6f783a9e2e9a3cf8f61","images/westgold_k_r__ya___kq_108.jpg"
"110","Tamstore Khatai","French Cow Kərə Yağı 82% 200qr","4.95","6.10","19%","https://imageproxy.wolt.com/assets/68a81b8e72cf20388ef47130","images/french_cow_k_r__ya___82__200qr_109.jpg"
"111","Tamstore Khatai","Dermokil Gel Maska 15ml Çəhrayı Gil","1.48","1.98","25%","https://imageproxy.wolt.com/assets/68a47f2af52a4fe9d4d1cfe1","images/dermokil_gel_maska_15ml___hray__gil_110.jpg"
"112","Tamstore Khatai","Mandarin Murkot kq","2.09","2.44","14%","No image",""
"113","Tamstore Khatai","Qreyfurt kq","2.59","2.99","13%","No image",""
"114","Tamstore Khatai","FRENCH COW FRANSA KERE YAGI 100 GR","2.59","3.10","16%","https://imageproxy.wolt.com/assets/68ad7c2c5650c92c6dc8c151","images/french_cow_fransa_kere_yagi_100_gr_113.jpg"
"115","Tamstore Khatai","Alpengold Max Fun Çiyələk və Moruqlu Şokolad 130 qr","6.39","7.99","20%","https://imageproxy.wolt.com/assets/68a6fb0510ec70798b770356","images/alpengold_max_fun__iy_l_k_v__moruqlu__okolad_130_q_114.jpg"
"116","Tamstore Khatai","GARNIER NEMLENDIRICI MASKA 27 GR EXPERT KRIO GEL","3.18","4.28","26%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/9ee34daa-8c34-11f0-b3e8-e20719835429_3600542570749.jpg","images/garnier_nemlendirici_maska_27_gr_expert_krio_gel_115.jpg"
"117","Tamstore Khatai","Chipsim Klassik Cips 140 qr","2.29","2.78","18%","https://imageproxy.wolt.com/assets/68a6faff10ec70798b770331","images/chipsim_klassik_cips_140_qr_116.jpg"
"118","Tamstore Khatai","Portağal Türkiyə kq","1.85","2.19","16%","No image",""
"119","Tamstore Khatai","Bref Təravətli Duo Kub 2x50qr","5.98","7.48","20%","https://imageproxy.wolt.com/assets/68a5c3a510ec70798b76bf04","images/bref_t_rav_tli_duo_kub_2x50qr_118.jpg"
"120","Tamstore Khatai","Domestos Tualet Gel Bəyaz Sabun 750ml","2.98","4.74","37%","https://imageproxy.wolt.com/assets/68a5c9a872cf20388ef41255","images/domestos_tualet_gel_b_yaz_sabun_750ml_119.jpg"
"121","Tamstore Khatai","Gerda Alman Kərə Yağı 200qr","4.80","6.34","24%","https://imageproxy.wolt.com/assets/68a5c3ac2bf4cafab97c23de","images/gerda_alman_k_r__ya___200qr_120.jpg"
"122","Tamstore Khatai","Yumoş Yuyucu Gel Bütün Rənglilər (TR) 2.520 ml","10.98","14.98","27%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/cc8bc43a-8c34-11f0-9c95-c6050b74e65f_8683130092729.jpg","images/yumo__yuyucu_gel_b_t_n_r_nglil_r__tr__2_520_ml_121.jpg"
"123","Tamstore Khatai","Vernel Yasəmən Ətrli Kondisioner 1.44l","8.98","12.48","28%","https://imageproxy.wolt.com/assets/68a82c6210ec70798b772e68","images/vernel_yas_m_n__trli_kondisioner_1_44l_122.jpg"
"124","Tamstore Khatai","Hicaz Təzə Ciyər Açıq kq","2.98","4.38","32%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/61de56ae-8e44-11f0-831b-6a88c67855ba_123262.jpg","images/hicaz_t_z__ciy_r_a__q_kq_123.jpg"
"125","Tamstore Khatai","Karalyok Kq","1.79","2.09","14%","No image",""
"126","Tamstore Khatai","N1 Mozarella Pendiri 1kq","12.98","13.94","7%","No image",""
"127","Tamstore Khatai","Komili Maye Sabun Lavanda 1.5l","5.58","7.98","30%","https://imageproxy.wolt.com/assets/68a81fec324d140dfd41a80d","images/komili_maye_sabun_lavanda_1_5l_126.jpg"
